,0,1,2,3
e6895280,1.0,1.0,1.0,0.0
e7018538,0.0,1.0,1.0,0.0
e7062626,1.0,1.0,0.0,1.0
e7098016,1.0,1.0,0.0,1.0
e7132164,1.0,1.0,1.0,1.0
e6996208,1.0,0.0,0.0,1.0
e202964,1.0,0.0,0.0,0.0
e202966,1.0,0.0,0.0,1.0
e5950172,0.0,0.0,0.0,0.0
e6963634,1.0,0.0,0.0,1.0
e6557596,1.0,0.0,0.0,0.0
e7107812,0.0,0.0,0.0,1.0
e6953466,1.0,0.0,0.0,1.0
e7119606,1.0,1.0,1.0,1.0
e6542268,0.0,0.0,0.0,1.0
e6400056,0.0,0.0,0.0,1.0
e132196,0.0,0.0,1.0,1.0
e6996262,0.0,0.0,1.0,1.0
e6548880,0.0,0.0,0.0,1.0
e6930340,1.0,0.0,0.0,1.0
e6999366,0.0,0.0,0.0,1.0
e234046,1.0,0.0,0.0,0.0
e6601910,1.0,0.0,0.0,0.0
e6570584,1.0,0.0,0.0,0.0
e219392,1.0,0.0,0.0,0.0
e6497340,1.0,0.0,0.0,0.0
e6537686,1.0,0.0,0.0,0.0
e6470220,0.0,0.0,0.0,1.0
e7003452,0.0,1.0,0.0,0.0
e6589700,1.0,0.0,0.0,0.0
e6370042,0.0,1.0,1.0,0.0
e139740,0.0,1.0,1.0,0.0
e6841896,0.0,1.0,1.0,0.0
e174136,1.0,0.0,1.0,0.0
e162364,0.0,0.0,0.0,0.0
e7007910,1.0,0.0,1.0,1.0
e7005554,0.0,0.0,0.0,1.0
e6127556,1.0,0.0,0.0,0.0
e160510,1.0,0.0,0.0,0.0
e6499384,0.0,0.0,1.0,0.0
e6515340,1.0,0.0,0.0,0.0
e5802560,0.0,0.0,0.0,0.0
e6994300,1.0,0.0,0.0,0.0
e6139996,1.0,0.0,0.0,0.0
e6987824,0.0,1.0,0.0,0.0
e6991846,1.0,0.0,0.0,0.0
e6398772,1.0,0.0,1.0,0.0
e6311586,1.0,0.0,1.0,1.0
e7115042,0.0,0.0,1.0,0.0
e6578246,0.0,1.0,0.0,0.0
e6997544,0.0,0.0,0.0,1.0
e7026264,0.0,1.0,0.0,0.0
e128114,0.0,1.0,0.0,0.0
e7097802,1.0,0.0,1.0,0.0
e6415224,0.0,0.0,1.0,0.0
e6671990,0.0,1.0,1.0,0.0
e159176,0.0,0.0,1.0,1.0
e203760,1.0,1.0,0.0,0.0
e6572564,1.0,1.0,1.0,1.0
e6506408,0.0,1.0,0.0,0.0
e7005898,0.0,0.0,1.0,0.0
e6786892,0.0,0.0,0.0,1.0
e6904744,0.0,1.0,1.0,1.0
e6991644,1.0,0.0,0.0,0.0
e7016176,0.0,0.0,1.0,1.0
e6234442,0.0,0.0,0.0,1.0
e6964576,1.0,0.0,0.0,1.0
e7004296,0.0,0.0,0.0,1.0
e7028674,1.0,0.0,0.0,0.0
e6438830,0.0,1.0,0.0,0.0
e228018,0.0,1.0,0.0,1.0
e7085560,1.0,1.0,1.0,0.0
e6548042,1.0,0.0,0.0,0.0
e7074284,0.0,1.0,1.0,1.0
e7107814,0.0,1.0,1.0,1.0
e6735942,0.0,1.0,1.0,0.0
e7131280,1.0,1.0,1.0,1.0
e7122818,0.0,1.0,1.0,0.0
e6456220,1.0,0.0,0.0,0.0
e7094872,1.0,1.0,0.0,0.0
e6320630,0.0,1.0,0.0,0.0
e6499810,0.0,0.0,1.0,0.0
e6425998,0.0,0.0,0.0,1.0
e6779484,0.0,1.0,1.0,0.0
e7117732,0.0,1.0,1.0,1.0
e6496678,0.0,1.0,0.0,0.0
e6523356,0.0,0.0,1.0,0.0
e7120830,0.0,0.0,1.0,1.0
e6824882,0.0,1.0,1.0,0.0
e6546310,0.0,1.0,0.0,0.0
e6538750,0.0,0.0,0.0,1.0
e7130912,1.0,1.0,0.0,1.0
e7101710,0.0,1.0,1.0,1.0
e6060770,0.0,1.0,1.0,0.0
e7114944,1.0,0.0,0.0,0.0
e7130158,1.0,1.0,0.0,0.0
e155462,1.0,0.0,0.0,0.0
e155464,1.0,0.0,0.0,0.0
e7002744,0.0,0.0,0.0,1.0
e6927356,0.0,1.0,1.0,1.0
e6532750,0.0,0.0,0.0,1.0
e7136100,1.0,1.0,1.0,1.0
e221932,1.0,0.0,0.0,0.0
e6365328,1.0,0.0,0.0,0.0
e7105364,0.0,1.0,1.0,1.0
e7105714,0.0,1.0,0.0,1.0
e6469760,0.0,0.0,0.0,1.0
e6890918,1.0,1.0,1.0,1.0
e6998826,0.0,0.0,0.0,1.0
e7070008,1.0,1.0,1.0,1.0
e6723238,1.0,0.0,1.0,0.0
e6913694,1.0,0.0,0.0,0.0
e7125176,0.0,1.0,1.0,1.0
e7110572,1.0,0.0,0.0,0.0
e7118334,1.0,0.0,0.0,1.0
e7012174,0.0,1.0,0.0,0.0
e226968,1.0,0.0,0.0,0.0
e7103548,1.0,1.0,1.0,0.0
e7124412,1.0,1.0,1.0,1.0
e7134968,1.0,0.0,1.0,1.0
e7122514,1.0,1.0,1.0,1.0
e6373358,0.0,0.0,1.0,0.0
e6975584,1.0,1.0,0.0,1.0
e7120242,1.0,1.0,1.0,1.0
e6355572,0.0,0.0,1.0,0.0
e6989326,0.0,0.0,1.0,0.0
e6989052,1.0,0.0,0.0,0.0
e7014970,1.0,0.0,0.0,0.0
e6321652,0.0,1.0,0.0,0.0
e158872,0.0,0.0,0.0,0.0
e7045976,1.0,0.0,0.0,1.0
e6415084,0.0,0.0,0.0,1.0
e6161332,0.0,1.0,0.0,1.0
e172824,1.0,0.0,0.0,0.0
e6999028,0.0,0.0,0.0,1.0
e6409346,0.0,0.0,1.0,0.0
e6457516,0.0,0.0,0.0,1.0
e7103442,1.0,1.0,1.0,1.0
e7048936,0.0,1.0,0.0,1.0
e6485138,0.0,1.0,1.0,0.0
e197366,0.0,0.0,1.0,0.0
e5983850,0.0,1.0,0.0,0.0
e7097232,1.0,1.0,1.0,1.0
e7128636,1.0,1.0,1.0,1.0
e6481740,1.0,0.0,0.0,0.0
e7116720,1.0,1.0,0.0,0.0
e6993566,0.0,0.0,0.0,1.0
e7087140,1.0,0.0,0.0,0.0
e6787588,1.0,0.0,0.0,1.0
e6824466,1.0,0.0,0.0,0.0
e6909788,1.0,0.0,0.0,1.0
e7114974,0.0,0.0,1.0,0.0
e7135528,1.0,1.0,1.0,1.0
e7013080,0.0,1.0,0.0,0.0
e134950,1.0,1.0,0.0,0.0
e6852372,1.0,0.0,1.0,1.0
e127648,1.0,0.0,0.0,0.0
e7098208,1.0,1.0,1.0,1.0
e6549282,0.0,1.0,0.0,0.0
e6958296,1.0,0.0,1.0,1.0
e7128948,1.0,1.0,1.0,1.0
e6961776,1.0,0.0,0.0,0.0
e7124706,0.0,1.0,1.0,1.0
e6809060,1.0,0.0,1.0,1.0
e7078916,0.0,1.0,1.0,0.0
e6964004,0.0,1.0,1.0,1.0
e6810772,0.0,1.0,1.0,0.0
e6885196,1.0,0.0,0.0,1.0
e5959836,1.0,0.0,0.0,0.0
e6551766,0.0,0.0,1.0,0.0
e6366426,1.0,0.0,0.0,0.0
e6680236,1.0,0.0,0.0,0.0
e6456264,0.0,0.0,0.0,1.0
e6222206,0.0,1.0,0.0,1.0
e7129028,1.0,1.0,1.0,1.0
e7124524,0.0,1.0,0.0,0.0
e6406322,1.0,0.0,0.0,0.0
e7123260,1.0,1.0,1.0,1.0
